"","Наименование профессии (должности","Наименование специальной одежды, специальной обуви и других средств индивидуальной защиты","Норма выдачи на год (штуки, пары, комплекты)"
"","Исполнитель художественно-оформительских работ; маляр; штукатур","Перчатки с полимерным покрытием","6 пар"
"","Исполнитель художественно-оформительских работ; маляр; штукатур","Очки защитные","до износа"
"","Исполнитель художественно-оформительских работ; маляр; штукатур","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Испытатель баллонов; наполнитель баллонов; приемщик баллонов","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Испытатель баллонов; наполнитель баллонов; приемщик баллонов","Сапоги резиновые с защитным подноском","1 пара"
"","Испытатель баллонов; наполнитель баллонов; приемщик баллонов","Перчатки с полимерным покрытием","12 пар"
"","Испытатель баллонов; наполнитель баллонов; приемщик баллонов","Очки защитные","до износа"
"","Испытатель баллонов; наполнитель баллонов; приемщик баллонов","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Испытатель двигателей","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Испытатель двигателей","Нарукавники из полимерных материалов","до износа"
"","Испытатель двигателей","Перчатки с полимерным покрытием","6 пар"
"","Испытатель двигателей","Щиток защитный лицевой или","до износа"
"","Испытатель двигателей","Очки защитные","до износа"
"","Испытатель на герметичность","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Испытатель на герметичность","Фартук из полимерных материалов с нагрудником","1 шт."
"","Испытатель на герметичность","Сапоги резиновые с защитным подноском","1 пара"
"","Испытатель на герметичность","Перчатки с полимерным покрытием","6 пар"
"","Испытатель на герметичность","Щиток защитный лицевой","до износа"
"","Испытатель на герметичность","При выполнении работ по испытанию на герметичность секций радиаторов с помощью кислотных растворов дополнительно:",""
"","Испытатель на герметичность","Перчатки резиновые или из полимерных материалов","12 пар"
"","Испытатель электрических машин, аппаратов и приборов","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Испытатель электрических машин, аппаратов и приборов","Перчатки с полимерным покрытием","6 пар"
"","Испытатель электрических машин, аппаратов и приборов","Боты или галоши диэлектрические","дежурные"
"","Испытатель электрических машин, аппаратов и приборов","Перчатки диэлектрические","дежурные"
"","Испытатель электрических машин, аппаратов и приборов","Очки защитные","до износа"
"","Истопник","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Истопник","Сапоги резиновые с защитным подноском","1 пара"
"","Истопник","Перчатки с полимерным покрытием","12 пар"
"","Истопник","Очки защитные","до износа"
"","Истопник","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Кабельщик-спайщик; электромонтер линейных сооружений телефонной связи и радиофикации","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Кабельщик-спайщик; электромонтер линейных сооружений телефонной связи и радиофикации","Перчатки с полимерным покрытием","6 пар"
"","Кабельщик-спайщик; электромонтер линейных сооружений телефонной связи и радиофикации","Очки защитные","до износа"
"","Кабельщик-спайщик; электромонтер линейных сооружений телефонной связи и радиофикации","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Кабельщик-спайщик; электромонтер линейных сооружений телефонной связи и радиофикации","При производстве кабельных работ дополнительно:",""
"","Кабельщик-спайщик; электромонтер линейных сооружений телефонной связи и радиофикации","Перчатки с точечным покрытием","12 пар"
"","Кабельщик-спайщик; электромонтер линейных сооружений телефонной связи и радиофикации","При выполнении работ в заболоченной местности дополнительно:",""
"","Кабельщик-спайщик; электромонтер линейных сооружений телефонной связи и радиофикации","Сапоги болотные с защитным подноском","1 пара"
"","Каменщик, дежурный у печей; печник","Костюм для защиты от повышенных температур","1 шт."
"","Каменщик, дежурный у печей; печник","Фартук для защиты от повышенных температур","2 шт. на 1,5 года"
"","Каменщик, дежурный у печей; печник","Ботинки кожаные с защитным подноском для защиты от повышенных температур, искр и брызг расплавленного металла или","1 пара"
"","Каменщик, дежурный у печей; печник","Сапоги кожаные с защитным подноском для защиты от повышенных температур, искр и брызг расплавленного металла, или","1 пара"
"","Каменщик, дежурный у печей; печник","Сапоги резиновые с защитным подноском (термостойкие)","1 пара"
"","Каменщик, дежурный у печей; печник","Перчатки с полимерным покрытием","12 пар"
"","Каменщик, дежурный у печей; печник","Перчатки для защиты от повышенных температур, искр и брызг расплавленного металла","12 пар"
"","Каменщик, дежурный у печей; печник","Щиток защитный лицевой или","до износа"
"","Каменщик, дежурный у печей; печник","Очки защитные","до износа"
"","Каменщик, дежурный у печей; печник","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Кастелянша","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Кастелянша","Халат и брюки для защиты от общих производственных загрязнений и механических воздействий","1 комплект"
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","При работе с горючими и смазочными материалами:",""
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Фартук из полимерных материалов с нагрудником","2 шт."
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Перчатки с полимерным покрытием или","12 пар"
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Перчатки с точечным покрытием","до износа"
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","При работе с кислотами и щелочами:",""
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Костюм для защиты от растворов кислот и щелочей","1 шт."
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Фартук для защиты от растворов кислот и щелочей","2 шт."
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Сапоги резиновые с защитным подноском","1 пара"
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Перчатки с полимерным покрытием","12 пар"
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Перчатки резиновые или из полимерных материалов","до износа"
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Очки защитные","до износа"
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","При работе с металлами, углями, лесоматериалами:",""
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Халат и брюки для защиты от общих производственных загрязнений и механических воздействий","1 комплект"
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Перчатки с полимерным покрытием","12 пар"
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","При хранении и отпуске ртути:",""
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Белье нательное","2 комплекта"
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Перчатки с полимерным покрытием","12 пар"
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Очки защитные","до износа"
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","При работе с прочими грузами, материалами:",""
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Халат для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Кладовщик; старший кладовщик; продавец непродовольственных товаров","Перчатки с полимерным покрытием","6 пар"
"","Клепальщик","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Клепальщик","Перчатки с полимерным покрытием","12 пар"
"","Клепальщик","Перчатки антивибрационные","12 пар"
"","Клепальщик","Очки защитные","до износа"
"","Комплектовщик изделий и инструмента","Халат и брюки для защиты от общих производственных загрязнений и механических воздействий","1 комплект"
"","Комплектовщик изделий и инструмента","Перчатки с полимерным покрытием","12 пар"
"","Контролер измерительных приборов и специального инструмента; контролер сварочных работ; контролер станочных и слесарных работ; контролер электромонтажных работ; контролер малярных работ; контролер по термообработке; контролер работ по металлопокрытиям; мастер контрольный","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Контролер измерительных приборов и специального инструмента; контролер сварочных работ; контролер станочных и слесарных работ; контролер электромонтажных работ; контролер малярных работ; контролер по термообработке; контролер работ по металлопокрытиям; мастер контрольный","Халат и брюки для защиты от общих производственных загрязнений и механических воздействий","1 комплект"
"","Контролер измерительных приборов и специального инструмента; контролер сварочных работ; контролер станочных и слесарных работ; контролер электромонтажных работ; контролер малярных работ; контролер по термообработке; контролер работ по металлопокрытиям; мастер контрольный","Перчатки с полимерным покрытием или","6 пар"
"","Контролер измерительных приборов и специального инструмента; контролер сварочных работ; контролер станочных и слесарных работ; контролер электромонтажных работ; контролер малярных работ; контролер по термообработке; контролер работ по металлопокрытиям; мастер контрольный","Перчатки с точечным покрытием","до износа"
"","Контролер измерительных приборов и специального инструмента; контролер сварочных работ; контролер станочных и слесарных работ; контролер электромонтажных работ; контролер малярных работ; контролер по термообработке; контролер работ по металлопокрытиям; мастер контрольный","Очки защитные","до износа"
"","Контролер-кассир; кассир билетный","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Контролер-кассир; кассир билетный","Перчатки с полимерным покрытием","4 пары"
"","Контролер материалов, металлов, полуфабрикатов и изделий","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Контролер материалов, металлов, полуфабрикатов и изделий","Халат для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Контролер материалов, металлов, полуфабрикатов и изделий","Перчатки с полимерным покрытием","6 пар"
"","Контролер материалов, металлов, полуфабрикатов и изделий","Щиток защитный лицевой или","до износа"
"","Контролер материалов, металлов, полуфабрикатов и изделий","Очки защитные","до износа"
"","Конюх; животновод; ветеринарный врач","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Конюх; животновод; ветеринарный врач","Халат и брюки для защиты от общих производственных загрязнений и механических воздействий","1 комплект"
"","Конюх; животновод; ветеринарный врач","Фартук из полимерных материалов с нагрудником","1 шт."
"","Конюх; животновод; ветеринарный врач","Сапоги резиновые с защитным подноском","1 пара"
"","Конюх; животновод; ветеринарный врач","Перчатки с полимерным покрытием","4 пары"
"","Котельщик; машинист (кочегар) котельной; оператор котельной; оператор теплового пункта; кочегар технологических печей; аппаратчик нагрева теплоносителей","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Котельщик; машинист (кочегар) котельной; оператор котельной; оператор теплового пункта; кочегар технологических печей; аппаратчик нагрева теплоносителей","Костюм для защиты от повышенных температур","1 шт."
"","Котельщик; машинист (кочегар) котельной; оператор котельной; оператор теплового пункта; кочегар технологических печей; аппаратчик нагрева теплоносителей","Перчатки с полимерным покрытием","12 пар"
"","Котельщик; машинист (кочегар) котельной; оператор котельной; оператор теплового пункта; кочегар технологических печей; аппаратчик нагрева теплоносителей","Перчатки для защиты от повышенных температур","2 пары"
"","Котельщик; машинист (кочегар) котельной; оператор котельной; оператор теплового пункта; кочегар технологических печей; аппаратчик нагрева теплоносителей","Щиток защитный лицевой или","до износа"
"","Котельщик; машинист (кочегар) котельной; оператор котельной; оператор теплового пункта; кочегар технологических печей; аппаратчик нагрева теплоносителей","Очки защитные","до износа"
"","Котельщик; машинист (кочегар) котельной; оператор котельной; оператор теплового пункта; кочегар технологических печей; аппаратчик нагрева теплоносителей","Каска защитная","1 шт. на 2 года"
"","Котельщик; машинист (кочегар) котельной; оператор котельной; оператор теплового пункта; кочегар технологических печей; аппаратчик нагрева теплоносителей","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Котельщик; машинист (кочегар) котельной; оператор котельной; оператор теплового пункта; кочегар технологических печей; аппаратчик нагрева теплоносителей","При работе в котельной, работающей на твердом или жидком топливе, дополнительно:",""
"","Котельщик; машинист (кочегар) котельной; оператор котельной; оператор теплового пункта; кочегар технологических печей; аппаратчик нагрева теплоносителей","Фартук из полимерных материалов с нагрудником","1 шт."
"","Котлочист","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Котлочист","Сапоги резиновые с защитным подноском","1 пара"
"","Котлочист","Нарукавники из полимерных материалов","до износа"
"","Котлочист","Перчатки с полимерным покрытием","12 пар"
"","Котлочист","Очки защитные","до износа"
"","Котлочист","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Красильщик стеклоизделий; краскосоставитель","Костюм для защиты от растворов кислот и щелочей","1 шт."
"","Красильщик стеклоизделий; краскосоставитель","Сапоги резиновые с защитным подноском","1 пара"
"","Красильщик стеклоизделий; краскосоставитель","Перчатки с полимерным покрытием","4 пары"
"","Красильщик стеклоизделий; краскосоставитель","Перчатки резиновые или из полимерных материалов","4 пары"
"","Красильщик стеклоизделий; краскосоставитель","Головной убор ","1 шт."
"","Красильщик стеклоизделий; краскосоставитель","Очки защитные","до износа"
"","Красильщик стеклоизделий; краскосоставитель","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Кровельщик по рулонным кровлям и по кровлям из штучных материалов; кровельщик по стальным кровлям","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Кровельщик по рулонным кровлям и по кровлям из штучных материалов; кровельщик по стальным кровлям","Перчатки с полимерным покрытием","6 пар"
"","Кровельщик по рулонным кровлям и по кровлям из штучных материалов; кровельщик по стальным кровлям","Очки защитные","до износа"
"","Кухонный рабочий","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Кухонный рабочий","Халат и брюки для защиты от общих производственных загрязнений и механических воздействий","1 комплект"
"","Кухонный рабочий","Нарукавники из полимерных материалов","до износа"
"","Кухонный рабочий","Перчатки резиновые или из полимерных материалов","6 пар"
"","Кухонный рабочий","Фартук из полимерных материалов с нагрудником","2 шт."
"","Кухонный рабочий","При работе в овощехранилищах дополнительно:",""
"","Кухонный рабочий","Жилет утепленный","1 шт."
"","Кухонный рабочий","Валенки с резиновым низом","по поясам"
"","Лаборант-микробиолог","Халат и брюки для защиты от растворов кислот и щелочей","1 комплект"
"","Лаборант-микробиолог","Фартук из полимерных материалов с нагрудником","1 шт."
"","Лаборант-микробиолог","Сапоги резиновые с защитным подноском","1 пара"
"","Лаборант-микробиолог","Перчатки кислотощелочестойкие","4 пары"
"","Лаборант-микробиолог","Перчатки резиновые или из полимерных материалов","24 пары"
"","Лаборант-микробиолог","Щиток защитный лицевой или","до износа"
"","Лаборант-микробиолог","Очки защитные","до износа"
"","Лаборант-микробиолог","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Лаборант по физико-механическим испытаниям; лаборант механических и климатических испытаний","Халат для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Лаборант по физико-механическим испытаниям; лаборант механических и климатических испытаний","Фартук из полимерных материалов с нагрудником","2 шт."
"","Лаборант по физико-механическим испытаниям; лаборант механических и климатических испытаний","Перчатки с полимерным покрытием","12 пар"
"","Лаборант по физико-механическим испытаниям; лаборант механических и климатических испытаний","Очки защитные","до износа"
"","Лаборант по физико-механическим испытаниям; лаборант механических и климатических испытаний","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Лаборант по электроизоляционным материалам","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Лаборант по электроизоляционным материалам","Халат и брюки для защиты от общих производственных загрязнений и механических воздействий","1 комплект"
"","Лаборант по электроизоляционным материалам","Фартук из полимерных материалов с нагрудником","2 шт."
"","Лаборант по электроизоляционным материалам","Нарукавники из полимерных материалов","до износа"
"","Лаборант по электроизоляционным материалам","Перчатки с полимерным покрытием","6 пар"
"","Лаборант по электроизоляционным материалам","Перчатки резиновые или из полимерных материалов","6 пар"
"","Лаборант по электроизоляционным материалам","Боты или галоши диэлектрические","дежурные"
"","Лаборант по электроизоляционным материалам","Перчатки диэлектрические","дежурные"
"","Лаборант по электроизоляционным материалам","Щиток защитный лицевой или","до износа"
"","Лаборант по электроизоляционным материалам","Очки защитные","до износа"
"","Лаборант по электроизоляционным материалам","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Лаборант-радиометрист; дозиметрист","Костюм для защиты от общих производственных загрязнений и механических воздействий","2 шт."
"","Лаборант-радиометрист; дозиметрист","Фартук из полимерных материалов с нагрудником","2 шт."
"","Лаборант-радиометрист; дозиметрист","Фартук из просвинцованной резины","1 шт."
"","Лаборант-радиометрист; дозиметрист","Нарукавники из полимерных материалов","до износа"
"","Лаборант-радиометрист; дозиметрист","Перчатки с полимерным покрытием или","12 пар"
"","Лаборант-радиометрист; дозиметрист","Перчатки с точечным покрытием","до износа"
"","Лаборант-радиометрист; дозиметрист","Перчатки резиновые или из полимерных материалов","6 пар"
"","Лаборант-рентгеноструктурщик","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Лаборант-рентгеноструктурщик","Халат и брюки для защиты от общих производственных загрязнений и механических воздействий","1 комплект"
"","Лаборант-рентгеноструктурщик","Фартук из просвинцованной резины","1 шт."
"","Лаборант-рентгеноструктурщик","Обувь специальная защитная от радиоактивных веществ и ионизирующих излучений","дежурная"
"","Лаборант-рентгеноструктурщик","Перчатки резиновые или из полимерных материалов","12 пар"
"","Лаборант-рентгеноструктурщик","Очки из освинцованного стекла","до износа"
"","Лаборант-рентгеноструктурщик","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Лаборант химико-бактериологического анализа; лаборант спектрального анализа; лаборант химического анализа; лаборант-коллектор; лаборант-металлограф; лаборант-техник (всех наименований); лаборант по анализу газов и пыли; лаборант пробирного анализа; лаборант рентгеноспектрального анализа; пробоотборщик","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Лаборант химико-бактериологического анализа; лаборант спектрального анализа; лаборант химического анализа; лаборант-коллектор; лаборант-металлограф; лаборант-техник (всех наименований); лаборант по анализу газов и пыли; лаборант пробирного анализа; лаборант рентгеноспектрального анализа; пробоотборщик","Халат для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Лаборант химико-бактериологического анализа; лаборант спектрального анализа; лаборант химического анализа; лаборант-коллектор; лаборант-металлограф; лаборант-техник (всех наименований); лаборант по анализу газов и пыли; лаборант пробирного анализа; лаборант рентгеноспектрального анализа; пробоотборщик","Фартук из полимерных материалов с нагрудником","дежурный"
"","Лаборант химико-бактериологического анализа; лаборант спектрального анализа; лаборант химического анализа; лаборант-коллектор; лаборант-металлограф; лаборант-техник (всех наименований); лаборант по анализу газов и пыли; лаборант пробирного анализа; лаборант рентгеноспектрального анализа; пробоотборщик","Перчатки с полимерным покрытием или","12 пар"
"","Лаборант химико-бактериологического анализа; лаборант спектрального анализа; лаборант химического анализа; лаборант-коллектор; лаборант-металлограф; лаборант-техник (всех наименований); лаборант по анализу газов и пыли; лаборант пробирного анализа; лаборант рентгеноспектрального анализа; пробоотборщик","Перчатки с точечным покрытием","до износа"
"","Лаборант химико-бактериологического анализа; лаборант спектрального анализа; лаборант химического анализа; лаборант-коллектор; лаборант-металлограф; лаборант-техник (всех наименований); лаборант по анализу газов и пыли; лаборант пробирного анализа; лаборант рентгеноспектрального анализа; пробоотборщик","Перчатки резиновые или из полимерных материалов","12 пар"
"","Лаборант химико-бактериологического анализа; лаборант спектрального анализа; лаборант химического анализа; лаборант-коллектор; лаборант-металлограф; лаборант-техник (всех наименований); лаборант по анализу газов и пыли; лаборант пробирного анализа; лаборант рентгеноспектрального анализа; пробоотборщик","Очки защитные","до износа"
"","Лаборант химико-бактериологического анализа; лаборант спектрального анализа; лаборант химического анализа; лаборант-коллектор; лаборант-металлограф; лаборант-техник (всех наименований); лаборант по анализу газов и пыли; лаборант пробирного анализа; лаборант рентгеноспектрального анализа; пробоотборщик","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Лаборант электромеханических испытаний и измерений","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Лаборант электромеханических испытаний и измерений","Халат для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Лаборант электромеханических испытаний и измерений","Фартук из полимерных материалов с нагрудником","1 шт."
"","Лаборант электромеханических испытаний и измерений","Боты или галоши диэлектрические","дежурные"
"","Лаборант электромеханических испытаний и измерений","Нарукавники из полимерных материалов","до износа"
"","Лаборант электромеханических испытаний и измерений","Перчатки с полимерным покрытием","12 пар"
"","Лаборант электромеханических испытаний и измерений","Перчатки резиновые или из полимерных материалов","24 пары"
"","Лаборант электромеханических испытаний и измерений","Очки защитные","до износа"
"","Лаборант электромеханических испытаний и измерений","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
